url,text,likes_cnt,reposts_cnt,comments_cnt
https://www.linkedin.com/in/konstantin-shematorov-76a744aa,"Georgy Gospodinov #Отзывы с благодарностью Спасибо, что Вы всегда делитесь уникальными идеями #Генератор_идей",0,0,0
https://www.linkedin.com/in/artyerokhin,"30 ноября пройдет конференция DataStart (https://datastart.ru/)Я на ней буду читать один из докладов. Расскажу несколько баек про то, как делать ""ML без ML"" (и зачем вообще так делать).По промокоду DSSpeaker можно получить скидку на билеты. Промокод дает скидку 2000 руб. на тарифы Standart и Business.#datastart #datascience #conference",2,0,0
https://www.linkedin.com/in/artyerokhin,"Finally, the third launch of our Open Machine Learning Course has finished! Two successful launches on Russian were followed by experimental English one. Lots of work on translation and editing articles and homeworks were done. So happy to see Machine Learning course by ODS community gaining international success! Thanks to the creator of the course Yury Kashnitskiy and the rest of the team! The last article of the course on Gradient Boosting:https://lnkd.in/dbgF4th",0,0,0
https://www.linkedin.com/in/dmitrii-kochurov,"Снова активно нанимаем под рост команды. Не проходи мимо - загляниНаша команда - часть центрального отдела продуктовой аналитики ИТ Маркетплейса, который занимается разработкой продуктов, нацеленных на улучшение пользовательского опыта как клиентов так и селлеров.Команда Кроссдоменной Аналитики - занимается развитием продуктовой аналитики следующей группы продуктов:- Контент и товары- Системы внутренней аутентификации и авторизации- Интеллектуальные системы работы чат- бота- Улучшение качества работы ML моделей модерации, мэтчинга и пр- Полное аналитическое сопровождение СРМ для контрагентов- Изучение пользовательского опыта в работе СРМ для операторов поддержки.Несмотря на большое разнообразие проектов и продуктов, мы достаточно эффективно решаем весь пул технических и бизнесовых вопросов связанный с аналитикой, при этом умудряясь не расти по экспоненте. Такая возможность достигается благодаря высокому уровня ответственности каждого члена команды, высочайших технических стандартов, а так же замотивированности на результат каждого аналитика.Чем предстоить заниматься1. Разработка отчетности в PowerBI/Grafana/Superset2. Поддержка и развитие всего инженерного ""зоопарка"" ( джобы, сверки, боты, походы в API и тд)3. Плотное взаимодействия с командой разработки по предмет поиска данных и развития функционала, выкатывания новых фич4. Управление бэклогом, формирование задач на улучшение стабильности работющих систем.5. Поиск инсайтов в выделенных направлениях6. Управление и улучшение дерева метрикhttps://lnkd.in/eATuE4iD",30,3 репоста,0
https://www.linkedin.com/in/timurr1808,"Everyone's talking about #ChatGPT. But 90% of you are missing out on the AI revolution. Here are the top AI tools you NEED to know about.1. Krisp: Krisp's AI removes background voices, noises, and echo from your calls, giving you peace of callLink: https://krisp.ai/2. Beatoven: Create unique royalty-free music that elevates your storyLink: https://www.beatoven.ai/3. Cleanvoice: Automatically edit your podcast episodesLink: https://cleanvoice.ai/4. Podcastle: Studio quality recording, right from your computerLink: https://podcastle.ai/5. Flair: Design branded content in a flashLink: https://flair.ai/6. Illustroke: Create killer vector images from text promptsLink: https://illustroke.com/7. Patterned: Generate the exact patterns you need for and designLink: https://www.patterned.ai/8. Stockimg: Generate the perfect stock photo you need, every timeLink: https://stockimg.ai/9. Copy: AI Generated copy, that actually increases conversionLink:https://www.copy.ai/10. CopyMonkey: Create Amazon listings in secondsLink: http://copymonkey.ai/11. Ocoya: Create and schedule social media content 10x fasterLink: https://www.ocoya.com/12. Unbounce Smart Copy: Write high-performing cold emails at scaleLink: https://unbounce.com/13. Vidyo: Make short-form vids from long-form content in just a few clicksLink: https://vidyo.ai/14. Maverick: Generate personalized videos at scaleLink:https://lnkd.in/dmrkz_ah15. Quickchat: AI chatbots that automate customer service chartsLink: https://www.quickchat.ai/16. Puzzle: Build an AI-powered knowledge base for your team and customersLink: https://www.puzzlelabs.ai/17. Soundraw: Stop searching for the song you need. Create it.Link: https://soundraw.io/18. Cleanup: Remove any wanted object, defect, people, or text from your pictures in secondsLink: https://cleanup.pictures/19. Resumeworded: Improve your resume and LinkedIn profileLink:  https://lnkd.in/d9EurcnX20. Looka: Design your own beautiful brandLink: https://looka.com/21. theresanaiforthat: Comprehensive database of AIs available for every taskLink: https://lnkd.in/dKhqaaF322. Synthesia: Create AI videos by simply typing in text.Link: https://www.synthesia.io/23. descript: New way to make video and podcastsLink: https://lnkd.in/d_Kdj35E24. Otter: Capture and share insights from your meetingsLink: https://otter.ai/25. Inkforall: AI content (Generation, Optimization, Performance) Link: https://inkforall.com/26. Thundercontent: Generate Content with AILink: https://lnkd.in/djFxMZsZThat’s wrap!!Credit for compiling the tools goes to Sunil Ghimire What cool AI tools would you add to this list?👇 Drop your suggestions in the replies below 👇",56 516,6 970 репостов,1 844 комментария
https://www.linkedin.com/in/timurr1808,"С удовольствием сообщаю, что я начинаю работу в новой должности – Data Scientist в компании Beeline Kazakhstan!",93,0,8 комментариев
https://www.linkedin.com/in/timurr1808,"ПОЛЕЗНЫЙ СПИСОК ДЛЯ РЕКРУТЕРОВ И ТЕХ КТО В ПОИСКЕ РАБОТЫ📌 Полный список телеграмм каналов для поиска вакансий и сотрудников:https://lnkd.in/eNRjKRZq - Польша, вакансии и резюмеhttps://lnkd.in/eg3WhdCv - вакансии и резюмеhttps://t.me/PBH_JOBS - вакансии и запросы на поиск работы в IT в Польше + живое общение.https://t.me/belarusitwant - вакансии, курсы, стажировки и митапы.https://t.me/forallqa - вакансии для QA и TestOpshttps://t.me/digital_hr - вакансии для IT и Digitalhttps://t.me/qajoboffer - вакансии для QAhttps://t.me/jobforjunior - вакансии для начинающих специалистов в IT и Digitalhttps://lnkd.in/d885w3c6 - вакансии и резюме it-специалистов в Польшеhttps://t.me/qa_jobs - аналитика и вакансии для QAhttps://t.me/relocaty_jobs - вакансии с релокацией и резюмеhttps://t.me/young_june - вакансии для начинающих it-специалистов в СНГhttps://t.me/itlenta - вакансии и резюмеhttps://t.me/evacuatejobs - вакансии с релокацией и удалёнкойhttps://t.me/belit_jobs - вакансии и резюмеhttps://lnkd.in/dERGaNeg - резюме кандидатов в поискеhttps://t.me/Cvflow - резюме соискателейhttps://t.me/remotejun - вакансии для начинающих it-специалистов на удаленкуhttps://t.me/relocateme - вакансии с релокациейhttps://lnkd.in/dWmkiFK3 - стажировка и вакансии для молодых специалистовhttps://t.me/Relocats - вакансии с релокациейhttps://t.me/jobsearchIT - вакансии и резюмеhttps://t.me/jobGeeks - поток вакансийhttps://lnkd.in/dhQ3gnSa - вакансии с релокациейhttps://t.me/remotejobss - вакансии на удалёнкеhttps://t.me/qa_resumes - резюме специалистов QAhttps://lnkd.in/dcGRCMtQ - вакансии и резюмеhttps://lnkd.in/ea7aw42whttps://t.me/mobile_jobshttps://t.me/devops_jobshttps://t.me/JScript_jobshttps://t.me/nodejs_jobshttps://t.me/angular_jobshttps://t.me/cyprusithrhttps://t.me/cyithrhttps://t.me/univworkhttps://lnkd.in/e2ZPYhXKhttps://lnkd.in/exgJFW52https://lnkd.in/etJjZ-yAhttps://t.me/jobsearchIThttps://t.me/relocaty_jobshttps://t.me/qa_jobshttps://t.me/Remoteithttps://t.me/youritjobhttps://t.me/jobforjuniorhttps://t.me/devs_ithttps://t.me/young_junehttps://t.me/georgiaitjobshttps://lnkd.in/eyMhcNWMhttps://lnkd.in/eruB7Wn7https://lnkd.in/ef5pVFuFhttps://t.me/ingamejob_arthttps://t.me/qa_vacancy_plhttps://t.me/sysadmin_jobs https://lnkd.in/efrMbQnthttps://lnkd.in/eGXyJvq9https://lnkd.in/ewmRFe4ahttps://t.me/europe_hiringhttps://lnkd.in/eYh4kiCshttps://lnkd.in/eydSdf3rhttps://t.me/jobsineuhttps://t.me/cyprusithrhttps://t.me/cchelloworkhttps://lnkd.in/eXQKU7gNhttps://t.me/stablegramhttps://t.me/jvmjobshttps://t.me/kotlin_jobs",5,0,0
https://www.linkedin.com/in/timurr1808,"Hi everyone - I am looking for a new role and would appreciate your support. Thank you in advance for any connections, advice, or opportunities you can offer. #OpenToWork",11,1 репост,0
https://www.linkedin.com/in/timurr1808,Never seen anything more beautiful than Gradient Descent (optimization algorithms). #Gradient #Descent,3,0,0
https://www.linkedin.com/in/timurr1808,Breakthrough: new micro-robot swims through the body to deliver the drug directly to the target. A game-changer to treat #cancerSource: American Chemical Society#robot #technology #innovation #healthtech #TechForGood,2,0,0
